# id	left	top	right	bottom	texture_id
[SPRITES]

#short land
61000	208	208	224	223	30
62000	224	208	240	223	30
63000	240	208	256	223	30

#tall land
61001	400	256	416	287	30
62002	416	256	432	287	30
63003	432	256	448	287	30

#a block of land
61004	408	225	413	240	20
62005	413	225	418	240	20
63006	418	225	423	240	20

#trees
67000	16	352	58	416	35
68000	58	352	100	416	35
69000	100	352	142	416	35

67007	1888	368	1909	416	35
68008	1909	368	1930	416	35
69009	1930	368	1951	416	35

#huge trees
67004	817	336	880	400	35
67005	880	336	943	400	35
67006	943	336	1007	400	35

67014	2368	288	2400	416	35
67025	2400	288	2432	416	35
67036	2432	288	2463	416	35

#small trees
67001	160	400	165	416	35
67002	165	400	170	416	35
67003	170	400	175	416	35

#corlor block (pink)
68100	240	368	256	415	35
68200	256	368	272	415	35
68300	272	368	287	415	35

68110	464	336	485	415	35
68120	485	336	506	415	35
68130	506	336	527	415	35

68111	1296	352	1333	415	35
68121	1333	352	1370	415	35
68131	1370	352	1407	415	35

68112	1312	144	1333	175	35
68122	1333	144	1354	175	35
68132	1354	144	1375	175	35

#color block (blue)
68101	272	336	288	415	35
68201	288	336	304	415	35
68301	304	336	320	415	35

68151	1328	320	1365	416	35
68251	1365	320	1402	416	35
68351	1402	320	1439	416	35

#color block (green)
68102	400	368	426	415	35
68202	426	368	452	415	35
68302	452	368	479	415	35


68103	512	384	544	415	35
68203	544	384	576	415	35
68303	576	384	607	415	35

68104	1264	384	1301	415	35
68204	1301	384	1338	415	35
68304	1338	384	1375	415	35

68105	2176	272	2192	415	35
68205	2192	272	2208	415	35
68305	2208	272	2223	415	35



#color block (white)
68010	512	304	533	384	35
68011	533	304	554	384	35
68012	554	304	575	384	35




#pipe(green)
60001	352	368	362	415	35
60002	362	368	372	415	35
60003	372	368	383	415	35

60004	1792	384	1802	415	35
60005	1802	384	1812	415	35
60006	1812	384	1823	415	35

60007	2256	112	2266	304	35
60008	2266	112	2276	304	35
60009	2276	112	2287	304	35

#dark flipped pipe
60030	2095	432	2105	464	35
60031	2105	432	2115	464	35
60032	2115	432	2126	464	35

#diamon block
60010	1967	433	2009	624	35
60011	2009	433	2051	624	35
60012	2051	433	2094	624	35

60013	2095	593	2223	624	35
60014	2223	593	2350	624	35
60015	2350	593	2478	624	35

60016	2127	433	2191	448	35
60017	2191	433	2255	448	35
60018	2255	433	2318	448	35

60020	2351	433	2393	624	35
60021	2393	433	2435	624	35
60022	2435	433	2478	624	35

#single diamon block
60023	272	176	277	191	30
60024	277	176	282	191	30
60025	282	176	287	191	30

#end site
60026	2480	0	2592	416	35
60027	2592	0	2704	416	35
60028	2704	0	2815	416	35

#Teeth
60033	208	176	213	191	30
60034	213	176	218	191	30
60035	218	176	223	191	30

#black_background_of_HUD
60050	0	0	750	150	36
60051	0	0	750	150	36
60052	0	0	750	150	36

#HUD UI
60036	0	0	271	31	37


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# HUD
30000	60036	100
#black_background_of_HUD
30024	60050	100	60051	100	60052	100
